://forum.intra.42.fr/topics/18376/messages?page=1#84291 | Intra Forum Messages
http://www.thisprogrammingthing.com/2013/changing-the-directory-vagrant-stores-the-vms-in/ | Changing the Directory Vagrant Stores the VMs In
https://www.wikihow.com/Chat-Using-Lan | How to Chat Using Lan: 6 Steps (with Pictures) - wikiHow
https://stackoverflow.com/questions/20091681/sending-message-via-terminal-to-another-logged-on-user-bash-programming | Sending message via terminal to another logged on user BASH programming - Stack Overflow
https://www.google.com/search?q=vagrant+skip+guest+additions&rlz=1C5CHFA_enFR830FR830&oq=vagrant+skip+gues&aqs=chrome.1.69i57j0.3855j0j7&sourceid=chrome&ie=UTF-8 | vagrant skip guest additions - Google Search
https://guillaumebriday.fr/utiliser-la-commande-ssh-pour-entrer-dans-une-machine-vagrant | Utiliser la commande SSH pour entrer dans une machine Vagrant - Guillaume Briday
https://www.vagrantup.com/docs/networking/private_network.html | Private Networks - Networking - Vagrant by HashiCorp
https://www.wikiwand.com/en/Private_network#/Private_IPv4_address_spaces | Private network - Wikiwand
https://stackoverflow.com/questions/10864372/how-to-ssh-to-vagrant-without-actually-running-vagrant-ssh | shell - How to ssh to vagrant without actually running "vagrant ssh"? - Stack Overflow
https://www.techrepublic.com/article/how-to-start-stop-and-restart-services-in-linux/ | How to start, stop, and restart services in Linux - TechRepublic
https://serverfault.com/questions/166858/help-configuring-talk-talkd | linux - Help configuring talk/talkd - Server Fault

https://tutorials-raspberrypi.com/connect-control-raspberry-pi-ws2812-rgb-led-strips/ | Connect and Control WS2812 RGB LED Strips via Raspberry Pi
https://forum.43oh.com/topic/5730-ws2801-vs-ws2812-in-rgb-matrix/ | WS2801 vs WS2812 in RGB matrix - General Electronics - 43oh
https://www.reichelt.com/fr/fr/raspberry-pi-joy-pi-experimental-education-case-rpi-set-joypi-p248395.html?PROVID=2788&gclid=Cj0KCQiA7IDiBRCLARIsABIPohhwDkcUVxJtpmsH0IPs0Sg6Ky8jkx1WszUUrp9CfZySTjaoevb6eEAaAvNXEALw_wcB&&r=1 | RPI SET JOYPI: Raspberry Pi - Joy-Pi Experimental - Education Case chez reichelt elektronik
https://www.amazon.fr/BTF-LIGHTING-flexible-individuellement-adressable-non-%C3%A9tanche/dp/B01CDTEJBG | BTF-LIGHTING WS2812B 5m 60leds/pixels/m flexible individuellement adressable bande couleur rêve non-étanche DC5V PCB noir: Amazon.fr: Luminaires et Eclairage

http://support.moonpoint.com/os/os-x/dhcp-info.php | Viewing DHCP information on an OS X system
https://openclassrooms.com/fr/courses/1561696-les-reseaux-de-zero/2293896-madame-michu-decouvre-le-dhcp | Madame Michu découvre le DHCP - Les réseaux de zéro - OpenClassrooms
https://computer.howstuffworks.com/nat1.htm | What Does NAT Do? - Static NAT and Overlapping | HowStuffWorks
http://www.oocities.org/hanson_c/Training/sec12.html | www.oocities.org/hanson_c/Training/sec12.html
https://www.wikiwand.com/en/Network_address_translation | Network address translation - Wikiwand
https://www.google.com/search?rlz=1C5CHFA_enFR830FR830&ei=tKwzXNCeI8WCjLsP6t-VwAY&q=network+address+translation+%3A+permet+a+des+machines+disposant+d%27adresses+qui+%23font+partie+d%27un+intranet+non+unique+et+non+routable+sur+Internet+de+communiquer+avec+Internet+en+semblant+utiliser+des+adresses+externes+uniques+et+routables&oq=network+address+translation+%3A+permet+a+des+machines+disposant+d%27adresses+qui+%23font+partie+d%27un+intranet+non+unique+et+non+routable+sur+Internet+de+communiquer+avec+Internet+en+semblant+utiliser+des+adresses+externes+uniques+et+routables&gs_l=psy-ab.12..0i71l8.48797.57471..61220...0.0..0.0.0.......4....1j2..gws-wiz.WbEFD7WYcRI | network address translation : permet a des machines disposant d'adresses qui #font partie d'un intranet non unique et non routable sur Internet de communiquer avec Internet en semblant utiliser des adresses externes uniques et routables - Google Search
https://openclassrooms.com/fr/courses/1561696-les-reseaux-de-zero/3200266-introduction-a-la-securite | Introduction à la sécurité - Les réseaux de zéro - OpenClassrooms
https://www.google.fr/imgres?imgurl=https%3A%2F%2Fi.pinimg.com%2Foriginals%2Fff%2F7f%2Fa2%2Fff7fa2ca239b778dc7ca0f7953fdf893.jpg&imgrefurl=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F392446555010378900%2F&docid=YuNfnTPBQK9PEM&tbnid=Euviw07s76tQbM%3A&vet=10ahUKEwj4jPTC6urdAhUILFAKHf90C2MQMwhqKDgwOA..i&w=1800&h=2716&bih=1361&biw=2560&q=asian%20feminazi&ved=0ahUKEwj4jPTC6urdAhUILFAKHf90C2MQMwhqKDgwOA&iact=mrc&uact=8 | Google Image Result for https://i.pinimg.com/originals/ff/7f/a2/ff7fa2ca239b778dc7ca0f7953fdf893.jpg
https://github.com/HiDoc/init/blob/master/network/09 | init/09 at master · HiDoc/init
https://cdn.intra.42.fr/pdf/pdf/1381/init.fr.pdf | init.fr.pdf
https://sourcedaddy.com/networking/identifying-routers-with-tracert.html | Identifying Routers with tracert - Networking Tutorial
https://www.howtogeek.com/233952/how-to-find-your-routers-ip-address-on-any-computer-smartphone-or-tablet/ | How to Find Your Router’s IP Address on Any Computer, Smartphone, or Tablet
https://whatismyipaddress.com/nat | What is Network Address Translation (NAT)?
https://searchnetworking.techtarget.com/Connect-your-LAN-to-the-Internet-using-static-or-dynamic-NAT | Connect your LAN to the Internet using static or dynamic NAT
https://www.google.com/search?q=find+your+public+ip+from+command+line&rlz=1C5CHFA_enFR830FR830&oq=find+your+public+ip+&aqs=chrome.5.69i57j0l5.6727j0j7&sourceid=chrome&ie=UTF-8 | find your public ip from command line - Google Search
https://www.cyberciti.biz/faq/how-to-find-my-public-ip-address-from-command-line-on-a-linux/ | How To Find My Public IP Address From Command Line On a Linux - nixCraft
https://unix.stackexchange.com/questions/335371/how-does-dig-find-my-wan-ip-adress-what-is-myip-opendns-com-doing | dns - How does dig find my WAN-IP-adress? What is "myip.opendns.com" doing? - Unix & Linux Stack Exchange
https://unix.stackexchange.com/questions/254328/get-the-external-ip-address-in-shell-without-dig-in-2016 | dns - Get the external IP address in shell without dig in 2016? - Unix & Linux Stack Exchange
https://www.iplocation.net/ | IP Location Finder - Geolocation
https://www.wikiwand.com/fr/S%C3%A9mantique | Sémantique - Wikiwand

https://stackoverflow.com/questions/8781975/refactoring-in-vim | Refactoring in Vim - Stack Overflow
http://thomas-cokelaer.info/blog/2012/01/sed-replace-a-pattern-in-all-files-in-one-command/ | SED: replace a pattern in all files in one command | Thomas Cokelaer's blog
https://stackoverflow.com/questions/749544/pipe-to-from-the-clipboard-in-bash-script | linux - Pipe to/from the clipboard in Bash script - Stack Overflow
https://stackoverflow.com/questions/2424921/python-vs-bash-in-which-kind-of-tasks-each-one-outruns-the-other-performance-w | Python vs Bash - In which kind of tasks each one outruns the other performance-wise? - Stack Overflow

https://www.summitmedicalgroup.com/news/nutrition/meal-timing-and-frequency-meals-and-snacks-optimal-health/ | Meal Timing and Frequency of Meals and Snacks for Optimal Health | Summit Medical Group
https://www.google.fr/imgres?imgurl=https%3A%2F%2Fi.pinimg.com%2Foriginals%2Fff%2F7f%2Fa2%2Fff7fa2ca239b778dc7ca0f7953fdf893.jpg&imgrefurl=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F392446555010378900%2F&docid=YuNfnTPBQK9PEM&tbnid=Euviw07s76tQbM%3A&vet=10ahUKEwj4jPTC6urdAhUILFAKHf90C2MQMwhqKDgwOA..i&w=1800&h=2716&bih=1361&biw=2560&q=asian%20feminazi&ved=0ahUKEwj4jPTC6urdAhUILFAKHf90C2MQMwhqKDgwOA&iact=mrc&uact=8 | Google Image Result for https://i.pinimg.com/originals/ff/7f/a2/ff7fa2ca239b778dc7ca0f7953fdf893.jpg

https://www.wikiwand.com/fr/Fonction_de_hachage | Fonction de hachage - Wikiwand
https://www.wikiwand.com/en/K_shortest_path_routing | k shortest path routing - Wikiwand
https://www.wikiwand.com/fr/Liste_d%27adjacence | Liste d'adjacence - Wikiwand

https://stackoverflow.com/questions/1811730/how-do-i-work-with-a-git-repository-within-another-repository | git submodules - How do I work with a git repository within another repository? - Stack Overflow
https://medium.com/@igor_marques/git-basics-adding-more-changes-to-your-last-commit-1629344cb9a8 | Git Basics: Adding more changes to your last commit

https://developer.apple.com/library/archive/documentation/Security/Conceptual/SecureCodingGuide/Articles/BufferOverflows.html | Avoiding Buffer Overflows and Underflows
https://lldb.llvm.org/lldb-gdb.html | LLDB to GDB Command Map
https://developer.apple.com/library/archive/documentation/General/Conceptual/lldb-guide/chapters/C1-Introduction-to-Debugging.html | Quick Tour of LLDB
https://github.com/aumanuel/ft_printf/blob/master/ft_printf.h | ft_printf/ft_printf.h at master · aumanuel/ft_printf
https://www.google.com/search?ei=VtYTXPSIDM3kkgXmzKDwCg&q=programming+naming+conventions+input+parsing&oq=programming+naming+conventions+input+parsing&gs_l=psy-ab.3...13289.17160..17279...0.0..1.235.1553.9j3j2......0....1..gws-wiz.......0i71j0i19j0i22i30i19j0i22i30j33i22i29i30j33i21j33i160.n0PxYoMA7E4 | programming naming conventions input parsing - Google Search
https://www.tutorialspoint.com/cprogramming/c_variable_arguments.htm | C Variable Arguments
https://developer.apple.com/library/archive/documentation/General/Conceptual/lldb-guide/chapters/C5-Examining-The-Call-Stack.html | Examining the Call Stack
https://softwareengineering.stackexchange.com/questions/116576/how-can-i-improve-my-error-checking-and-handling | c - How can I improve my error checking and handling? - Software Engineering Stack Exchange
https://blogs.msdn.microsoft.com/oldnewthing/20050114-00/?p=36693/ | Cleaner, more elegant, and harder to recognize – The Old New Thing
https://lldb.llvm.org/tutorial.html | LLDB Tutorial
https://stackoverflow.com/questions/256218/the-simplest-way-of-printing-a-portion-of-a-char-in-c | string formatting - The simplest way of printing a portion of a char[] in C - Stack Overflow
http://www.cse.chalmers.se/edu/year/2015/course/DAT150/lectures/proglang-04.html?fbclid=IwAR2ErlfxgQTQ6gpy5v5jwEN4Wh2hQGLOfPgq8SueMgGo7KBC0puLZwQsZ_o | Lecture 4: Implementing Lexers and Parsers

https://42born2code.slack.com/messages/C0G07RYJD/ | * random | 42born2code Slack
https://bitbucket.org/byurin/osx_var_scripts/src/209cb96cc0f2e0d15d54d917cd3caaca858fb55b/clean_lock/?at=master | byurin / OSX_var_scripts / source / clean_lock — Bitbucket
https://42charts.fr/login | 42 Charts
ttp://www.oocities.org/hanson_c/Training/sec12.html | www.oocities.org/hanson_c/Training/sec12.html
https://www.wikiwand.com/en/Network_address_translation | Network address translation - Wikiwand
https://www.google.com/search?rlz=1C5CHFA_enFR830FR830&ei=tKwzXNCeI8WCjLsP6t-VwAY&q=network+address+translation+%3A+permet+a+des+machines+disposant+d%27adresses+qui+%23font+partie+d%27un+intranet+non+unique+et+non+routable+sur+Internet+de+communiquer+avec+Internet+en+semblant+utiliser+des+adresses+externes+uniques+et+routables&oq=network+address+translation+%3A+permet+a+des+machines+disposant+d%27adresses+qui+%23font+partie+d%27un+intranet+non+unique+et+non+routable+sur+Internet+de+communiquer+avec+Internet+en+semblant+utiliser+des+adresses+externes+uniques+et+routables&gs_l=psy-ab.12..0i71l8.48797.57471..61220...0.0..0.0.0.......4....1j2..gws-wiz.WbEFD7WYcRI | network address translation : permet a des machines disposant d'adresses qui #font partie d'un intranet non unique et non routable sur Internet de communiquer avec Internet en semblant utiliser des adresses externes uniques et routables - Google Search
https://openclassrooms.com/fr/courses/1561696-les-reseaux-de-zero/3200266-introduction-a-la-securite | Introduction à la sécurité - Les réseaux de zéro - OpenClassrooms
https://www.google.fr/imgres?imgurl=https%3A%2F%2Fi.pinimg.com%2Foriginals%2Fff%2F7f%2Fa2%2Fff7fa2ca239b778dc7ca0f7953fdf893.jpg&imgrefurl=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F392446555010378900%2F&docid=YuNfnTPBQK9PEM&tbnid=Euviw07s76tQbM%3A&vet=10ahUKEwj4jPTC6urdAhUILFAKHf90C2MQMwhqKDgwOA..i&w=1800&h=2716&bih=1361&biw=2560&q=asian%20feminazi&ved=0ahUKEwj4jPTC6urdAhUILFAKHf90C2MQMwhqKDgwOA&iact=mrc&uact=8 | Google Image Result for https://i.pinimg.com/originals/ff/7f/a2/ff7fa2ca239b778dc7ca0f7953fdf893.jpg
https://github.com/HiDoc/init/blob/master/network/09 | init/09 at master · HiDoc/init
https://cdn.intra.42.fr/pdf/pdf/1381/init.fr.pdf | init.fr.pdf
https://sourcedaddy.com/networking/identifying-routers-with-tracert.html | Identifying Routers with tracert - Networking Tutorial
https://www.howtogeek.com/233952/how-to-find-your-routers-ip-address-on-any-computer-smartphone-or-tablet/ | How to Find Your Router’s IP Address on Any Computer, Smartphone, or Tablet
https://whatismyipaddress.com/nat | What is Network Address Translation (NAT)?
https://searchnetworking.techtarget.com/Connect-your-LAN-to-the-Internet-using-static-or-dynamic-NAT | Connect your LAN to the Internet using static or dynamic NAT
https://www.google.com/search?q=find+your+public+ip+from+command+line&rlz=1C5CHFA_enFR830FR830&oq=find+your+public+ip+&aqs=chrome.5.69i57j0l5.6727j0j7&sourceid=chrome&ie=UTF-8 | find your public ip from command line - Google Search
https://www.cyberciti.biz/faq/how-to-find-my-public-ip-address-from-command-line-on-a-linux/ | How To Find My Public IP Address From Command Line On a Linux - nixCraft
https://unix.stackexchange.com/questions/335371/how-does-dig-find-my-wan-ip-adress-what-is-myip-opendns-com-doing | dns - How does dig find my WAN-IP-adress? What is "myip.opendns.com" doing? - Unix & Linux Stack Exchange
https://unix.stackexchange.com/questions/254328/get-the-external-ip-address-in-shell-without-dig-in-2016 | dns - Get the external IP address in shell without dig in 2016? - Unix & Linux Stack Exchange
https://www.iplocation.net/ | IP Location Finder - Geolocation
https://www.wikiwand.com/fr/S%C3%A9mantique | Sémantique - Wikiwand

https://stackoverflow.com/questions/8781975/refactoring-in-vim | Refactoring in Vim - Stack Overflow
http://thomas-cokelaer.info/blog/2012/01/sed-replace-a-pattern-in-all-files-in-one-command/ | SED: replace a pattern in all files in one command | Thomas Cokelaer's blog
https://stackoverflow.com/questions/749544/pipe-to-from-the-clipboard-in-bash-script | linux - Pipe to/from the clipboard in Bash script - Stack Overflow
https://stackoverflow.com/questions/2424921/python-vs-bash-in-which-kind-of-tasks-each-one-outruns-the-other-performance-w | Python vs Bash - In which kind of tasks each one outruns the other performance-wise? - Stack Overflow

https://www.summitmedicalgroup.com/news/nutrition/meal-timing-and-frequency-meals-and-snacks-optimal-health/ | Meal Timing and Frequency of Meals and Snacks for Optimal Health | Summit Medical Group
https://www.google.fr/imgres?imgurl=https%3A%2F%2Fi.pinimg.com%2Foriginals%2Fff%2F7f%2Fa2%2Fff7fa2ca239b778dc7ca0f7953fdf893.jpg&imgrefurl=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F392446555010378900%2F&docid=YuNfnTPBQK9PEM&tbnid=Euviw07s76tQbM%3A&vet=10ahUKEwj4jPTC6urdAhUILFAKHf90C2MQMwhqKDgwOA..i&w=1800&h=2716&bih=1361&biw=2560&q=asian%20feminazi&ved=0ahUKEwj4jPTC6urdAhUILFAKHf90C2MQMwhqKDgwOA&iact=mrc&uact=8 | Google Image Result for https://i.pinimg.com/originals/ff/7f/a2/ff7fa2ca239b778dc7ca0f7953fdf893.jpg

https://www.wikiwand.com/fr/Fonction_de_hachage | Fonction de hachage - Wikiwand
https://www.wikiwand.com/en/K_shortest_path_routing | k shortest path routing - Wikiwand
https://www.wikiwand.com/fr/Liste_d%27adjacence | Liste d'adjacence - Wikiwand

https://stackoverflow.com/questions/1811730/how-do-i-work-with-a-git-repository-within-another-repository | git submodules - How do I work with a git repository within another repository? - Stack Overflow
https://medium.com/@igor_marques/git-basics-adding-more-changes-to-your-last-commit-1629344cb9a8 | Git Basics: Adding more changes to your last commit

https://developer.apple.com/library/archive/documentation/Security/Conceptual/SecureCodingGuide/Articles/BufferOverflows.html | Avoiding Buffer Overflows and Underflows
https://lldb.llvm.org/lldb-gdb.html | LLDB to GDB Command Map
https://developer.apple.com/library/archive/documentation/General/Conceptual/lldb-guide/chapters/C1-Introduction-to-Debugging.html | Quick Tour of LLDB
https://github.com/aumanuel/ft_printf/blob/master/ft_printf.h | ft_printf/ft_printf.h at master · aumanuel/ft_printf
https://www.google.com/search?ei=VtYTXPSIDM3kkgXmzKDwCg&q=programming+naming+conventions+input+parsing&oq=programming+naming+conventions+input+parsing&gs_l=psy-ab.3...13289.17160..17279...0.0..1.235.1553.9j3j2......0....1..gws-wiz.......0i71j0i19j0i22i30i19j0i22i30j33i22i29i30j33i21j33i160.n0PxYoMA7E4 | programming naming conventions input parsing - Google Search
https://www.tutorialspoint.com/cprogramming/c_variable_arguments.htm | C Variable Arguments
https://developer.apple.com/library/archive/documentation/General/Conceptual/lldb-guide/chapters/C5-Examining-The-Call-Stack.html | Examining the Call Stack
https://softwareengineering.stackexchange.com/questions/116576/how-can-i-improve-my-error-checking-and-handling | c - How can I improve my error checking and handling? - Software Engineering Stack Exchange
https://blogs.msdn.microsoft.com/oldnewthing/20050114-00/?p=36693/ | Cleaner, more elegant, and harder to recognize – The Old New Thing
https://lldb.llvm.org/tutorial.html | LLDB Tutorial
https://stackoverflow.com/questions/256218/the-simplest-way-of-printing-a-portion-of-a-char-in-c | string formatting - The simplest way of printing a portion of a char[] in C - Stack Overflow
http://www.cse.chalmers.se/edu/year/2015/course/DAT150/lectures/proglang-04.html?fbclid=IwAR2ErlfxgQTQ6gpy5v5jwEN4Wh2hQGLOfPgq8SueMgGo7KBC0puLZwQsZ_o | Lecture 4: Implementing Lexers and Parsers

https://42born2code.slack.com/messages/C0G07RYJD/ | * random | 42born2code Slack
https://bitbucket.org/byurin/osx_var_scripts/src/209cb96cc0f2e0d15d54d917cd3caaca858fb55b/clean_lock/?at=master | byurin / OSX_var_scripts / source / clean_lock — Bitbucket
https://42charts.fr/login | 42 Charts

